smiles,T1,T2,T3,T4,T5,Viscosity_1,Viscosity_2,Viscosity_3,Viscosity_4,Viscosity_5,Intercept (A),Coefficient (B)
C1(CCCC1)C(CCCCCCCCCC)CCCCCCCCCC,273.15,298.15,310.928,333.15,372.039,5.642333167213447,3.69136342903747,2.748753017823944,2.080053802204087,1.4678743971105745,-3.4465717297082685,1406.7515090210377
C1CCC(CC1)CC(CCCCCCCCCCCCC)CC1CCCCC1,273.15,298.15,310.928,333.15,372.039,11.633875666439016,7.129632071338113,4.637396335650023,3.105638892603655,1.9346302057328348,-4.492897675447562,1897.5236036102244
CCCCCCCCCCC(CCCCCCCCCC)CC(C)(C)C,273.15,298.15,310.928,333.15,372.039,5.393551829829796,3.5189343184827107,2.6269223531568526,1.9870204775167406,1.3999824962276664,-3.497413876355162,1408.1856133656854
C1CCCC(C1)C(CCCCCCCCCCCC)CCCCCCCCCCCC,273.15,298.15,310.928,333.15,372.039,8.3166932181669,5.132455842214387,3.661088512924331,2.6487742976084134,1.7774643832249364,-3.8180301026888883,1613.685268963158
C1CCCC(C1)[C@H](CC)CCCCCCCCCCCCCCCCC,273.15,298.15,310.928,333.15,372.039,5.9157830390674135,4.131467568657784,3.062574460714411,2.303479264649039,1.618407479664743,-3.2231113134888094,1365.9508422777
C1CCCCC1[C@@H](CCCCCCCC)CCCCCCCCCCC,273.15,298.15,310.928,333.15,372.039,6.726208589632502,4.239787738575605,3.0796937167092153,2.266475300305311,1.5541193985927555,-3.7295822343524305,1531.4877899547637
c1cccc(c1)[C@H](CCCCCCCCCCCCC)CCCCCC,273.15,298.15,310.928,333.15,372.039,5.836129244960062,4.02002470685268,2.9465249322864193,2.191568050980145,1.519378380964864,-3.4281358866209004,1418.2504583612636
c1cccc(c1)[C@H](CCCCCCCCCCC)CCCCCCCC,273.15,298.15,310.928,333.15,372.039,5.737839909001512,3.954081537309376,2.9079339400199955,2.167959591900001,1.5016134756347859,-3.421129342950798,1411.6971788481326
c1cccc(c1)CCC(CCCCCCCC)CCCCCCCC,273.15,298.15,310.928,333.15,372.039,4.83722568210196,3.226615970719286,2.4537736166768824,1.8917261696240386,1.357101763337408,-3.3027498827204167,1325.4414210839536
C1CCCC(C1)CCC(CCCCCCCC)CCCCCCCC,273.15,298.15,310.928,333.15,372.039,6.330683065789853,4.0313499781670865,2.9475875228361383,2.1805921999372737,1.504168066025095,-3.682258202941542,1502.4202022523539
c1ccc(cc1)CCC(CCc1ccccc1)CCc1ccccc1,273.15,298.15,310.928,333.15,372.039,14.365506356669714,6.492437014329861,4.081808624187267,2.732400460759795,1.7505090389463247,-5.451479099231948,2183.599259927385
C1CCCC(C1)[C@H](CCCCCCCCCCCCCCCCCC)C,273.15,298.15,310.928,333.15,372.039,6.086729943816106,4.2424331836417615,3.1683308392603386,2.3850777412737485,1.6706580655993273,-3.1745231882289806,1360.4602496034904
C1CCCCC1[C@@H](CCC)CCCCCCCCCCCCCCCC,273.15,298.15,310.928,333.15,372.039,6.301272114639834,4.316943932158089,3.1469638638469037,2.3282060607368105,1.6067544327192564,-3.433245215356674,1440.592240922584
C1(CCCC1)CCCC(CCCCCCCC)CCCCCCCC,273.15,298.15,310.928,333.15,372.039,5.266359569130862,3.504558161010755,2.6463307362445243,2.0081810111460454,1.4221680714622182,-3.3683016968489174,1367.9963418981731
C1(CCCC1)CCCC(CCCC1CCCC1)CCCCCCCC,273.15,298.15,310.928,333.15,372.039,6.67298082663121,4.2404493013893,3.1016657168878465,2.294669142622425,1.5807223035700242,-3.6395479093625216,1505.0118763375478
